CODE,Length,Width,Plant Spacing,Row Spacing,Type,Moisture,Temperature,Plant Height,Cap Cover,LAI,DIFN,MTA,SEM,SMP,SEL,Chloropyll  Value (mg/m2)
P7S3-1,10,10,4.85,3.4,Clay,0.238,33.9,2.3,45°,3.53,0.0683,50.9,7.99,4,0.31,139.4
P7S3-2,10,10,4.85,3.4,Clay,0.308,33.4,2.3,45°,3.76,0.0745,58.4,13.7,4,0.505,136
P7S3-3,10,10,4.85,3.4,Clay,0.385,31.4,2.15,45°,1.32,0.389,41.2,11.8,4,0.244,105.8
P8S1-1,10,10,4.9,3.62,Clay,0.127,32.7,1.86,45°,2.02,0.235,50.4,19.5,4,0.493,76.4
P8S1-2,10,10,4.9,3.62,Clay,0.121,33.1,1.79,45°,1.6,0.322,60.6,16.2,4,0.385,74.6
P8S1-3,10,10,4.9,3.62,Clay,0.177,33.3,1.87,45°,0.906,0.503,42.5,18.7,4,0.112,71
P8S2-1,10,10,3.92,3.75,Clay,0.457,32,1.73,45°,2.45,0.177,57.6,13.8,4,0.466,66.6
P8S2-2,10,10,3.92,3.75,Clay,0.127,31.2,1.89,45°,3.45,0.0807,45,3.8,4,0.313,76.4
P8S2-3,10,10,3.92,3.75,Clay,0.16,31,2.2,45°,2.79,0.138,45.3,16.2,4,0.733,63.6
P8S3-1,10,10,4,3.62,Clay,0.118,30.7,1.98,45°,3.51,0.0767,40.9,11.1,4,0.283,73
P8S3-2,10,10,4,3.62,Clay,0.132,30.8,2.15,45°,3.12,0.0908,47.2,11,4,0.363,62.8
P8S3-3,10,10,4,3.62,Clay,0.177,30.5,1.98,45°,2.67,0.192,40.7,4.5,4,0.495,60.6
P9S1-1,10,10,6,3.24,Clay,0.089,29.3,2.42,45°,1.76,0.273,0,466.7,4,0.329,77.6
P9S1-2,10,10,6,3.24,Clay,0.098,29.7,2.61,45°,0.939,0.498,44,16.1,4,0.203,104.4
P9S1-3,10,10,6,3.24,Clay,0.085,30.8,2.57,45°,1.5,0.319,46.2,8.07,4,0.338,69.4
P9S2-1,10,10,5.62,3.03,Clay,0.096,31.5,2.54,45°,1.67,0.292,36.3,23.2,4,0.139,63.6
P9S2-2,10,10,5.62,3.03,Clay,0.1,31.6,2.51,45°,1.28,0.384,59.3,2.04,4,0.116,74.8
P9S2-3,10,10,5.62,3.03,Clay,0.128,31.6,2.31,45°,1.61,0.286,0,25.9,4,0.312,103.6
P9S3-1,10,10,4.67,3.07,Clay,0.122,32.1,2.26,45°,0.711,0.566,45.8,2.8,4,0.143,65.6
P9S3-2,10,10,4.67,3.07,Clay,0.116,32.1,2.83,45°,0.733,0.59,0,50.9,4,0.261,38.6
P9S3-3,10,10,4.67,3.07,Clay,0.085,32.1,2.62,45°,1.47,0.312,41.7,5.91,4,0.438,50
P10S1-1,10,10,3.9,3.22,Clay,0.168,32.5,2.14,45°,5.22,0.015,40.6,1.32,4,0.959,77.6
P10S1-2,10,10,3.9,3.22,Clay,0.186,31.9,2.26,45°,6.08,0.00802,27.7,7.29,4,0.906,89
P10S1-3,10,10,3.9,3.22,Clay,0.231,31.6,2.08,45°,3.41,0.0829,0,33.4,4,0.23,57.8
P10S2-1,10,10,3.59,3.15,Clay,0.157,31.8,2.11,45°,2.83,1.05,41.2,1.82,4,0.485,83
P10S2-2,10,10,3.59,3.15,Clay,0.133,32.3,2.3,45°,3.22,0.0743,34,3.45,4,0.366,74.4
P10S2-3,10,10,3.59,3.15,Clay,0.102,32.1,2.23,45°,3.89,0.0442,33.3,2.46,4,0.496,75.8
P10S3-1,10,10,3.7,3.4,Clay,0.145,32.4,2.24,45°,3.07,0.148,62.6,7.38,4,0.534,77.8
P10S3-2,10,10,3.7,3.4,Clay,0.213,31.9,2.27,45°,3.26,0.0864,52.7,8.6,4,0.426,61.8
P10S3-3,10,10,3.7,3.4,Clay,0.329,30.5,2.31,45°,2.89,0.111,41.8,4.42,4,0.302,80.6
P11S1-1,10,10,4.22,3.96,Clay,0.18,33.6,2.05,45°,1.9,0.23,45.1,9.48,4,0.109,37
P11S1-2,10,10,4.22,3.96,Clay,0.205,33.5,2.18,45°,1.51,0.313,41.8,5.09,4,0.278,36.4
P11S1-3,10,10,4.22,3.96,Clay,0.183,33.5,2.25,45°,2.58,0.144,0,12.1,4,0.627,47.2
P11S2-1,10,10,3.75,4,Clay,0.121,33.8,2.05,45°,3.49,0.0659,42.7,7.35,4,0.321,36.6
P11S2-2,10,10,3.75,4,Clay,0.12,33.5,2.15,45°,5.35,0.0176,45,9.11,4,0.543,54.8
P11S2-3,10,10,3.75,4,Clay,0.115,33.3,2.07,45°,1.94,0.231,42.6,8.88,4,0.847,64.6
P11S3-1,10,10,4.29,3.57,Clay,0.134,34.1,1.9,45°,4.35,0.0489,50.9,11.2,4,0.326,41.2
P11S3-2,10,10,4.29,3.57,Clay,0.13,33.8,1.9,45°,2.7,0.18,41,3.28,4,0.409,46.4
P11S3-3,10,10,4.29,3.57,Clay,0.13,33.8,2.18,45°,2.88,0.206,59.5,7.91,4,0.587,62.6
P12S1-1,10,10,4.32,3.52,Clay,0.131,33.6,2.03,45°,3.19,0.0448,42.3,2.03,4,0.447,48.8
P12S1-2,10,10,4.32,3.52,Clay,0.16,33.3,2.23,45°,2.36,0.163,34.8,6,4,0.573,56.6
